Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,2.25,2.0,2.0,2.25,1964.0,2.25
2000-01-04,2.25,2.0,2.25,2.0,1440.0,2.0
2000-01-05,2.25,2.25,2.25,2.25,2872.0,2.25
2000-01-06,2.5,2.25,2.25,2.5,1036.0,2.5
2000-01-07,2.75,2.25,2.25,2.75,9600.0,2.75
2000-01-10,3.0,2.0,3.0,2.0,0.0,2.0
2000-01-11,2.5,2.25,2.5,2.25,0.0,2.25
2000-01-12,2.5,2.25,2.25,2.5,1000.0,2.5
2000-01-13,2.5,2.5,2.5,2.5,600.0,2.5
2000-01-14,4.25,2.75,2.75,4.25,21444.0,4.25
2000-01-17,4.75,4.0,4.75,4.0,2396.0,4.0
2000-01-18,4.5,4.0,4.0,4.5,3008.0,4.5
2000-01-19,4.5,3.75,4.5,4.5,1428.0,4.5
2000-01-20,3.75,3.5,3.75,3.75,3412.0,3.75
2000-01-21,3.5,3.25,3.25,3.5,1992.0,3.5
2000-01-24,3.25,3.25,3.25,3.25,488.0,3.25
2000-01-25,3.25,3.25,3.25,3.25,0.0,3.25
2000-01-26,3.5,3.25,3.25,3.5,1344.0,3.5
2000-01-27,3.75,3.25,3.5,3.25,1208.0,3.25
2000-01-28,3.5,3.25,3.5,3.25,0.0,3.25
2000-01-31,4.0,3.5,3.5,4.0,400.0,4.0
2000-02-01,3.75,3.5,3.75,3.5,0.0,3.5
2000-02-02,3.5,3.0,3.5,3.0,1440.0,3.0
2000-02-03,3.75,3.25,3.25,3.5,8264.0,3.5
2000-02-04,3.75,3.25,3.75,3.25,0.0,3.25
2000-02-07,4.25,3.75,3.75,4.0,3604.0,4.0
2000-02-08,4.25,3.75,3.75,4.0,1860.0,4.0
2000-02-09,4.25,3.75,3.75,4.0,4920.0,4.0
2000-02-10,4.0,3.75,4.0,3.75,804.0,3.75
2000-02-11,3.75,3.25,3.75,3.25,3560.0,3.25
2000-02-14,3.5,3.0,3.5,3.0,5088.0,3.0
2000-02-15,3.25,3.0,3.25,3.0,4256.0,3.0
2000-02-16,3.25,3.0,3.0,3.25,2760.0,3.25
2000-02-17,3.25,3.0,3.0,3.25,1240.0,3.25
2000-02-18,3.25,3.0,3.25,3.25,840.0,3.25
2000-02-21,3.25,3.0,3.0,3.25,3592.0,3.25
2000-02-22,3.25,3.25,3.25,3.25,664.0,3.25
2000-02-23,3.25,3.0,3.0,3.25,328.0,3.25
2000-02-24,3.5,3.0,3.25,3.25,10188.0,3.25
2000-02-25,3.5,3.25,3.25,3.25,356.0,3.25
2000-02-28,3.25,3.25,3.25,3.25,720.0,3.25
2000-02-29,3.5,3.5,3.5,3.5,280.0,3.5
2000-03-01,3.75,2.5,3.75,2.5,0.0,2.5
2000-03-02,3.25,3.25,3.25,3.25,540.0,3.25
2000-03-03,3.75,3.0,3.75,3.0,0.0,3.0
2000-03-06,3.0,3.0,3.0,3.0,0.0,3.0
2000-03-07,3.0,3.0,3.0,3.0,0.0,3.0
2000-03-08,4.0,3.0,4.0,3.0,0.0,3.0
2000-03-09,3.75,3.25,3.75,3.25,0.0,3.25
2000-03-10,4.0,2.75,4.0,2.75,0.0,2.75
2000-03-13,3.75,2.5,3.75,2.5,0.0,2.5
2000-03-14,3.75,3.75,3.75,3.75,40.0,3.75
2000-03-15,3.75,3.0,3.75,3.0,0.0,3.0
2000-03-16,3.75,3.5,3.5,3.75,1588.0,3.75
2000-03-17,3.5,3.5,3.5,3.5,40.0,3.5
2000-03-20,3.75,2.5,3.75,2.5,0.0,2.5
2000-03-21,3.25,3.25,3.25,3.25,40.0,3.25
2000-03-22,3.5,3.5,3.5,3.5,600.0,3.5
2000-03-23,3.5,3.0,3.5,3.0,0.0,3.0
2000-03-24,3.0,3.0,3.0,3.0,280.0,3.0
2000-03-27,3.0,3.0,3.0,3.0,4.0,3.0
2000-03-28,3.5,3.0,3.5,3.0,0.0,3.0
2000-03-29,3.5,3.0,3.5,3.0,0.0,3.0
2000-03-30,3.25,3.0,3.25,3.0,1364.0,3.0
2000-03-31,3.5,3.5,3.5,3.5,4.0,3.5
2000-04-03,3.5,2.75,3.5,2.75,0.0,2.75
2000-04-04,3.25,2.75,3.25,2.75,0.0,2.75
2000-04-05,3.0,3.0,3.0,3.0,480.0,3.0
2000-04-06,3.5,3.0,3.5,3.0,2760.0,3.0
2000-04-07,3.25,2.75,3.25,2.75,0.0,2.75
2000-04-10,3.5,2.5,3.5,2.5,0.0,2.5
2000-04-11,3.5,2.0,3.5,2.0,0.0,2.0
2000-04-12,3.5,2.0,3.5,2.0,0.0,2.0
2000-04-13,3.5,1.5,3.5,1.5,0.0,1.5
2000-04-14,3.25,1.5,3.25,1.5,0.0,1.5
2000-04-17,3.5,1.5,3.5,1.5,0.0,1.5
2000-04-18,2.75,2.75,2.75,2.75,4.0,2.75
2000-04-19,3.5,1.75,3.5,1.75,0.0,1.75
2000-04-20,3.5,1.75,3.5,1.75,0.0,1.75
2000-04-21,1.75,1.75,1.75,1.75,0.0,1.75
2000-04-24,3.5,2.5,3.5,2.5,0.0,2.5
2000-04-25,3.5,1.75,3.5,1.75,0.0,1.75
2000-04-26,3.75,1.5,3.75,1.5,0.0,1.5
2000-04-27,2.5,2.5,2.5,2.5,280.0,2.5
2000-04-28,3.25,1.75,3.25,1.75,0.0,1.75
2000-05-01,1.75,1.75,1.75,1.75,0.0,1.75
2000-05-02,2.5,1.75,2.5,1.75,0.0,1.75
2000-05-03,2.5,1.5,2.5,1.5,480.0,1.5
2000-05-04,2.0,2.0,2.0,2.0,1440.0,2.0
2000-05-05,2.0,2.0,2.0,2.0,200.0,2.0
2000-05-08,2.0,2.0,2.0,2.0,40.0,2.0
2000-05-09,2.0,2.0,2.0,2.0,44.0,2.0
2000-05-10,2.0,1.75,1.75,2.0,620.0,2.0
2000-05-11,2.0,2.0,2.0,2.0,200.0,2.0
2000-05-12,2.75,1.5,2.75,1.5,0.0,1.5
2000-05-15,2.0,1.5,2.0,1.5,0.0,1.5
2000-05-16,2.0,2.0,2.0,2.0,80.0,2.0
2000-05-17,2.75,2.0,2.0,2.75,2280.0,2.75
2000-05-18,5.0,1.5,5.0,1.5,0.0,1.5
2000-05-19,2.5,2.25,2.5,2.25,260.0,2.25
2000-05-22,5.0,2.25,5.0,2.25,0.0,2.25
2000-05-23,2.5,2.5,2.5,2.5,800.0,2.5
2000-05-24,2.5,2.5,2.5,2.5,400.0,2.5
2000-05-25,3.75,2.75,2.75,3.0,14244.0,3.0
2000-05-26,3.25,3.25,3.25,3.25,4.0,3.25
2000-05-29,2.75,2.75,2.75,2.75,400.0,2.75
2000-05-30,3.5,1.75,3.5,1.75,0.0,1.75
2000-05-31,3.5,2.25,3.5,2.25,0.0,2.25
2000-06-01,3.5,2.5,2.75,3.25,6400.0,3.25
2000-06-02,3.25,3.25,3.25,3.25,40.0,3.25
2000-06-05,2.75,2.75,2.75,2.75,2400.0,2.75
2000-06-06,2.75,2.75,2.75,2.75,0.0,2.75
